Time (s),Compressor Speed (rpm),Condensor Air Mass Flow (kg/s),Evaporator Air Mass Flow (kg/s),Superheat (°C),Discharge Temperature (°C),Subcooling (°C),Condenser_Pressure (kPa),Evaporator_Pressure (kPa),Compressor_MassFlow (kg/s),EXV_MassFlow (kg/s),Compressor_Power (kW),Total Power (kW),Air Side Cooling Capacity (kW),Ref Side Cooling Capacity (kW)
1.7,3300,2.236,0.6909,0,50.95213734,5.952440093,2537.098463,999.5675713,0.057133924,0.05818218,2.542541088,2.824020488,12.24550132,9.300171768
1.75,3300,2.236,0.6909,0,50.96653659,5.66499548,2538.907353,1001.52483,0.057249422,0.058059097,2.543171215,2.824650615,12.17489761,9.301723846
1.8,3300,2.236,0.6909,0,50.97896724,5.393292196,2540.576744,1003.373658,0.057358615,0.057941849,2.543709378,2.825188778,12.10596965,9.302840598
1.85,3300,2.236,0.6909,0,50.98989697,5.13572703,2542.120737,1005.109809,0.05746118,0.057830009,2.544180384,2.825659784,12.03866973,9.302852287
1.9,3300,2.236,0.6909,0,50.99967542,4.892686216,2543.552774,1006.719676,0.057556309,0.057724375,2.544617493,2.826096893,11.97294584,9.301147043
1.95,3300,2.236,0.6909,0,51.00862888,4.662761577,2544.881018,1008.191501,0.057643301,0.05762461,2.545046454,2.826525854,11.90873197,9.296442721
2,3300,2.236,0.6909,0,51.01718714,4.446284977,2546.112112,1009.490447,0.057720091,0.057531669,2.545513084,2.826992484,11.84594192,9.286680923
2.05,3300,2.236,0.6909,0,51.02593681,4.241555307,2547.255689,1010.561991,0.057783533,0.057445851,2.546090851,2.827570251,11.78444627,9.268449139
2.1,3300,2.236,0.6909,0,51.03659551,4.048945847,2548.293927,1011.171703,0.05781968,0.057370754,2.547189886,2.828669286,11.7239274,9.159718922
2.15,3300,2.236,0.6909,0,51.0469452,3.866661776,2549.224009,1011.84001,0.057859304,0.057297022,2.547840546,2.829319946,11.6648331,9.180175694
2.2,3300,2.236,0.6909,0,51.05593381,3.694713424,2550.073285,1012.314238,0.057887424,0.057229344,2.548530138,2.830009538,11.60695763,9.175892624
2.25,3300,2.236,0.6909,0,51.06630296,3.53318409,2550.840428,1012.419015,0.057893637,0.05717067,2.549475384,2.830954784,11.54990595,9.158467639
2.3,3300,2.236,0.6909,0.008027701,51.07814107,3.380526455,2551.522855,1012.497188,0.057898272,0.057114587,2.550357728,2.831837128,11.49398994,9.17791345
2.35,3300,2.236,0.6909,0.032269635,51.08658763,3.236600064,2552.140083,1012.849461,0.057919162,0.057056558,2.550894884,2.832374284,11.43961376,9.191375076
2.4,3300,2.236,0.6909,0.07518474,51.09404164,3.102185985,2552.708038,1013.181189,0.057938835,0.057002093,2.551385833,2.832865233,11.38645244,9.19203271
2.45,3300,2.236,0.6909,0.12928278,51.1012173,2.975853656,2553.231416,1013.409389,0.057952369,0.056952045,2.551892459,2.833371859,11.33438479,9.185515185
2.5,3300,2.236,0.6909,0.187320781,51.11183279,2.858905283,2553.826691,1013.188771,0.057939285,0.056915148,2.552820492,2.834299892,11.28299204,9.175687751
